Id	Question	Difficulty	Freqency	Data Structures	Algorithms																																			
1	Two Sum	2	5	"array	 set"	"sort	 two pointers"	我用hashmap做了																																		
8	String to Integer (atoi)	2	5	string	math	1.trim后看是不是空 2.第一位是不是有正负 符号 3.接下去位数有没有 tr.charAt(i)<'0'||str.charAt(i)>'9' 4.如果是正常数值value=10*value+str.charAt(i)-'0'; 5.最后在和integer max/min value 																																		
15	3Sum	3	5	array	two pointers	for循环 外层控制I  内层控制left，right 然后i+left+right==0 就是答案。 注意先sort 数组 当中去重																																		
20	Valid Parentheses	2	5	string	stack	用stack实现，左括号add 右括号pop 然后比较是否是pair																																		
21	Merge Two Sorted Lists	2	5	linked list	"sort	 two pointers	 merge"	先设好root.next=….  在root=root.next																																		
28	Implement strStr()	4	5	string	"two pointers	 KMP	 rolling hash"	"for (int i = 0; i < h_len - n_len + 1; i++) {  //剩下的不够匹配完整needle就不用再循环了  for (int j = 0; j < n_len; j++) {  //因为是从haystack的i位和needle的0位开始比     if (haystack.charAt(i + j)!=needle.charAt(j)) {//所以直接是haystack i+j..和neddle的j比 j从0开始"	 for(i=0;i<haystack.length()-needle.length()+1;i++){																																	
50	"Pow(x	 n)"	3	5		"binary search	 math"	"1.先处理负指数	1.0/pow2(x	-n)                                                                                                           2.然后再用二分思想处理问题 因为指数的运算规律2^8=2^4*2^4 所以 double result=pow2(x	 n/2);然后 return的时候如果指数为偶数就 return result*result 基数就在补乘个x （因为在/2的时候基数会损失一个 9/2=4）"																																		
56	Merge Intervals	4	5	"array	 linked list	 red-black tree"	"sort	 merge"	"1.arraylist 转数组，先写comparator给数组排序，按start比。2	  //排序好 后          //弄一个 prev=0位 然后 和从1遍历的curr比           //如果curr.start>=prev.end 说明有 interval          //那时候只要在比较prev.end和curr.end 那个end 大就更新prev.edm          //如果 curr.start<prev.end  说明没有interval          //直接   result.add(prev); prev=curr;          //循环结束后再加一次即可      。"																																		
57	Insert Interval	4	5	"array	 linked list	 red-black tree"	"sort	 merge"	把要插入的add到linked list后 再sort。。然后接下去和上一题完全一样																																		
65	Valid Number	2	5	string	math	"1.如果遍历中有些东西如果有一次就够了可以立个boolean的flag    2.//注意. Arrays.toString(char) 会返回带括号和逗号的数组形式的string 所以要，而不是一个正常string 所以要s = new String(temp);                 3.如果实在做不出  try{ Double.valueOf(s); return true;}catch (Exception e){ return false; }    4. 正则做法   Pattern p = Pattern.compile(""^[\\+\\-]?((\\d+(\\.\\d*)?)|(\\.\\d+))(e[\\+\\-]?\\d+)?$"");"	"if(s.trim().isEmpty()){               return false;          }           String regex = ""[-+]?(\\d+\\.?|\\.\\d+)\\d*(e[-+]?\\d+)?"";           if(s.trim().matches(regex)){               return true;           }else{               return false;          }      }  "																																	
70	Climbing Stairs	2	5		dp	"Dynamic Programming	 先确定初始问题， 在递推 recursion解决后面的子问题 if (n >= 3) {     ways= climbStairs(n - 1) + climbStairs(n - 2);   } 但是这么写会超时.所以用iterator 的方法 复杂度变为0（n）    for(int i=3;i<=n;i++){   n3=n1+n2;  // 本质还是f(n)=f(n-1)+f(n-2)   n1=n2;     //每当i++时候   n2=n3;     //n1=上一次的n2 n2等于上一次的n3}"																																		
73	Set Matrix Zeroes	3	5	array		"这题和CC150上1_7类似 但是cc 150的解法是用了 rows 和columns2个数组来储存0的坐标，比如matrix[i][j]=0  columns[i]++ rows[j]++	然后再次遍历这个matrix	当if(columns[i]!=0||rows[j]!=0)这个matrix[i][j]=0， leetcode上要求不需求辅助空间  那么我们就把matrix的第0行和第0列当做columns[] rows[] 来存0.先检查第0行和第0列 然后在检查从下标1开始的行和列 然后处理下标1开始的行和列，最后再处理第0行和第0列"																																		
88	Merge Sorted Array	2	5	array	"two pointers	 merge"	"//A，B不是都sorted了吗，我们不从头开始比谁小，我们从A，B的尾巴开始比谁大 //谁大，谁就放到A的[(a最后一个有数据的下标)+(b.length)]	然后该--下标的--	接下去就和普通mergesort一样(不要忘记检查2个数组是否为空 比方说 A空B有的时候就把B一个一个赋值到A里)"																																		
